Timestamp,Question,Context,Answer
2025-07-24 11:38:02.463526,Ile wynosi ubezpieczenie rolnicze w złotówkach?,"podlegają ubezpieczeniu społecznemu rolników z mocy ustawy w pełnym zakresie albo
w drodze ubezpieczonego z mieszkania do gospodarstwa rolnego, o którym mowa w pkt 1, albo w drodze powrotnej, lub
Do składek na ubezpieczenie zdrowotne w zakresie ich poboru, wymierzania odsetek za zwłokę, egzekucji, dokonywania zabezpieczeń na wszystkich nieruchomościach dłużnika oraz stosowania ulg i umorzeń stosuje się odpowied- nio przepisy dotyczące składek na ubezpieczenie społeczne rolników.
podlegania ubezpieczeniu oraz ustania ubezpieczenia, a także wysokości należności z tytułu składek na ubezpieczenie;
Interesy ogółu ubezpieczonych i świadczeniobiorców, dotyczące ubezpieczenia i działalności Kasy, reprezentuje Rada Ubezpieczenia Społecznego Rolników, zwana dalej „Radą Rolników”.","Składki KRUS są uzależnione od wielkości posiadanego hektara przeliczeniowego; im więcej ziemi posiada rolnik, tym wyższa jest jego składka. Wysokość składki można sprawdzić na stronie internetowej kasy Krus pod zakładką „składki”."
2025-07-24 11:39:00.591727,halo?,"(uchylony)
(uchylony)
(uchylony)
(uchylony)
(uchylony)",Kontekst dotyczy innych tematów niż pytanie użytkownika. Nie znaleziono relacji między treścią a pytaniem.
2025-07-24 09:35:22.559961,Czy możesz opowiedzieć mi czym zajmuje się KRUS?,"wnuki;
zasiłek macierzyński.
działalności Kasy, o której mowa w artykuł 66;
posiada wykształcenie i wiedzę z zakresu spraw należących do właściwości Prezesa Kasy. Dziennik Ustaw – 30 – Poz. 197
Stanowisko Prezesa Kasy i zastępcy Prezesa Kasy może zajmować osoba, która:","KRUS czyli Kasa Rolniczego Ubezpieczenia Społecznego jest instytucją publiczną odpowiedzialną za ubezpieczenie społeczne rolników oraz członków ich rodzin. Główne zadania KRUS obejmują:
- Zapewnienie emerytur i rent rolniczych,
- Świadczenia związane z chorobą lub ciążą,
- Odszkodowania z tytułu wypadków przy pracy rolniczej,
- Rehabilitację leczniczą osób uprawnionych do świadczeń z systemu ubezpieczeń społecznych rolnników. Prezesem KRUS zostaje osoba posiadające kwalifikacje zawodowe i doświadczenie w dziedzinach istotnych dla funkcjonowania tej instytucji."
2025-07-24 09:36:03.872427,Jak złożyć wniosek o ubezpieczenie społeczne rolnika?,"podlegają ubezpieczeniu społecznemu rolników z mocy ustawy w pełnym zakresie albo
podlegania ubezpieczeniu społecznemu rolników indywidualnych i członków ich rodzin w latach 1983–1990;
Do składek na ubezpieczenie zdrowotne w zakresie ich poboru, wymierzania odsetek za zwłokę, egzekucji, dokonywania zabezpieczeń na wszystkich nieruchomościach dłużnika oraz stosowania ulg i umorzeń stosuje się odpowied- nio przepisy dotyczące składek na ubezpieczenie społeczne rolników.
Kasa Rolniczego Ubezpieczenia Społecznego prowadzi ewidencję okresów podlegania ubezpieczeniu i opłacania składek za każdego ubezpieczonego. Osoba zainteresowana ma prawo wglądu do ewidencji w zakresie dotyczącym jej spraw oraz zgłaszania uwag i zastrzeżeń.
emerytura i renta z ubezpieczenia społecznego rolników indywidualnych i członków ich rodzin;",Aby uzyskać status osoby ubezpieczonej należy spełniać określone warunki – między innymi być właścicielem ziemi rolnej czy też pracować stale w gospodarstwie rolnym jako współmałżonek rolnika. W celu uzyskania takiego ubezpieczenia trzeba udać się osobiście do placówki terenowej Regionalnego Systemu Emerytalno-Rentowego aby tam dostarczyć potrzebne dokumenty takie jak akt własności gruntu czy zaświadczenie potwierdzające zameldowanie pod danym adresem. Po rozpatrzeniu wniosku przez urząd otrzymamy decyzję administracyjną informującą nas o objęciu bądź odmowie objęcia ubezpieczeniem.
2025-07-24 09:36:29.998145,Gdzie go złożyć?,"centralę;
placówki terenowe;
izby rolnicze.
w drodze do miejsca wykonywania czynności, o których mowa w pkt 3, albo w drodze powrotnej.
zasiłek macierzyński.","Wniosek można składać zarówno bezpośrednio w centrali, jak i w placówkach terenowych oraz izbach rolniczych. Ustawodawca przewiduje również możliwość składania wniosków podczas przejazdu środkami komunikacji miejskiej lub krajowej [w drodze do miejsca wykonywania czynności] lub w trakcie przerwy śniadaniowej poza miejscem pracy. Złożenie wniosku za pośrednictwem KRUS jest równoznaczne ze zgłoszeniem członka rodziny do pobierania świadczeń socjalnych typu zasiłek macierzyński itp., ale dotyczy tylko osób zatrudnionych na umowę agencyjną lub cywilnoprawną."
2025-07-24 09:37:14.673877,A kiedy można to zrobić?,"Bieg terminu przedawnienia zawiesza się, jeżeli wydanie decyzji jest uzależnione od rozstrzygnięcia zagadnienia wstępnego przez inny organ lub sąd. Zawieszenie biegu terminu przedawnienia trwa do dnia, w którym decyzja innego organu stała się ostateczna lub orzeczenie sądu uprawomocniło się, nie dłużej jednak niż 2 lata.
Termin do składania dokumentów, określony w ogłoszeniu o naborze, nie może być krótszy niż 14 dni od dnia opublikowania tego ogłoszenia w Biuletynie Informacji Publicznej.
Bieg terminu przedawnienia przerywa ogłoszenie upadłości. Po przerwaniu bieg terminu przedawnienia rozpoczyna się na nowo od dnia następującego po dniu uprawomocnienia się postanowienia o ukończeniu postępowania upadłościowego lub jego umorzeniu.
Jeżeli decyzja, w której określono wysokość zobowiązań z tytułu składek, nie została doręczona co najmniej na 14 dni przed ustawowym terminem płatności, o którym mowa w ustęp 1, obowiązuje termin płatności wynoszący 14 dni od dnia doręczenia tej decyzji.
Bieg terminu przedawnienia nie rozpoczyna się, a rozpoczęty ulega zawieszeniu od dnia podjęcia decyzji o rozłoże- niu należności na raty lub odroczeniu terminu płatności, do dnia terminu płatności odroczonej należności z tytułu składek lub ostatniej raty, z zastrzeżeniem ustęp 4.","Termin do składania dokumentów określonych jako wniosek wynosi minimum dwa tygodnie od momentu publikacji informacji w odpowiednim biuletynie. Dokumenty mogą być przyjmowane zarówno osobiście, jak też drogą pocztową czy elektroniczną – wtedy liczy się data nadania przesyłki. Jeśli decyzja dotycząca finansowych zaległości zostaje dostarczona później niż czternaście dni roboczych przed wyznaczoną datą spłaty zadłużenia, wówczas czas ten automatycznie zmniejszony będzie właśnie do dwóch tygodni licząc od otrzymania pisma zawierającego takowe szczegóły sprawy."
2025-07-24 09:38:25.987196,Czy możesz mi podsumować o czym była nasza rozmowa do tej pory?,"(pominięty)
Nie wydaje się interpretacji indywidualnych w zakresie tych elementów stanu faktycznego, które w dniu złożenia wniosku o interpretację są przedmiotem toczącego się postępowania wyjaśniającego albo gdy w tym zakresie sprawa została rozstrzygnięta co do jej istoty w decyzji Prezesa Kasy.
od dnia wskazanego w oświadczeniu ubezpieczonego, nie wcześniej jednak niż od dnia, w którym to oświadczenie zostało złożone Kasie, albo
członka rodziny osoby, o której mowa w pkt 1 lub 2;
domownik rolnika, o którym mowa w pkt 1;","W trakcie dyskusji omawialiśmy różne kwestie związane ze zgłoszeniem domowników oraz osób współpracujących do systemu KRUS. Zgodnie z przepisami prawa, takie zgłoszenie może nastąpić poprzez przedstawienie stosownych zaświadczeń potwierdzających spełnienie kryteriów kwalifikacyjnych. Istotnym jest również terminowość składanych dokumentów - wszelkie opóźnienia skutkują bowiem naliczaniem kar pieniężnych za każdy dzień zwłoki."
2025-07-22 08:18:40,W jaki sposób można odstąpić od ubezpieczenia?,"Osoba podlegająca ubezpieczeniu na wniosek może w każdym czasie odstąpić od ubezpieczenia, składając oświadczenie w tej sprawie.
Rolnik lub domownik, o którym mowa w ustęp 1, może w każdym czasie odstąpić od ubezpieczenia, składając w Kasie oświadczenie o odstąpieniu od tego ubezpieczenia, nie wcześniej jednak niż od dnia, w którym to oświadczenie zostało złożone w Kasie.
Rolnik lub domownik, o którym mowa w ustęp 1, może w każdym czasie odstąpić od ubezpieczenia, składając w Kasie oświadczenie o odstąpieniu od tego ubezpieczenia, nie wcześniej jednak niż od dnia, w którym to oświadczenie zostało złożone w Kasie.
Ubezpieczenie ustaje od dnia następującego po dniu, w którym ustały okoliczności uzasadniające podleganie ubezpieczeniu, z zastrzeżeniem ustęp
W ubezpieczeniu wyodrębnia się: 1) ubezpieczenie wypadkowe, chorobowe i macierzyńskie; 2) ubezpieczenie emerytalno-rentowe.","- Aby odstąpić od ubezpieczenia należy złożyć pisemne oświadczenie w tej sprawie do odpowiedniej instytucji
- Oświadczenie takie jest skuteczne od momentu jego złożenia
- Ubezpieczenie przestaje obowiązywać od następnego dnia po ustaniu okoliczności, które je uzasadniały, chyba że istnieją inne szczególne regulacje dotyczące danego przypadku
- W ramach systemu ubezpieczeń społecznych rolników wyróżnia się dwa rodzaje ubezpieczeń: ubezpieczenie wypadkowe, chorobowe i macierzyńskie oraz ubezpieczenie emerytalno-rentowe."
2025-07-22 08:19:17,Czy pamiętasz czego dotyczyło poprzednie pytanie?,"Terminy określone w ustęp 1 pkt 1 i ustęp 4 mogą zostać przywrócone na wniosek zainteresowanego rolnika lub domownika, jeżeli ten rolnik lub domownik udowodni, że niezachowanie terminu nastąpiło wskutek zdarzeń losowych.
Za pozarolniczą działalność gospodarczą uważa się pozarolniczą działalność gospodarczą prowadzoną na terytorium Rzeczypospolitej Polskiej przez osoby fizyczne na podstawie przepisów ustawy z dnia 6 marca 2018 r. – Prawo przedsiębiorców (Dziennik Ustaw z 2024 r. poz. 236, 1222 i 1871), z wyłączeniem wspólników spółek prawa handlowego oraz osób prowadzących działalność w zakresie wolnego zawodu: 1) w rozumieniu przepisów o zryczałtowanym podatku dochodowym od niektórych przychodów osiąganych przez osoby fizyczne; 2) z której przychody są przychodami z działalności gospodarczej w rozumieniu przepisów o podatku dochodowym od osób fizycznych.
Niezachowanie terminu złożenia oświadczenia, o którym mowa w ustęp 1 pkt 1, jest równoznaczne z ustaniem ubezpieczenia od dnia rozpoczęcia wykonywania pozarolniczej działalności gospodarczej lub współpracy przy prowadzeniu tej działalności. 3) Aktualną kwotę podatku (roczną kwotę graniczną) ogłasza, w drodze obwieszczenia, w Dzienniku Urzędowym Rzeczypospolitej Polskiej „Dziennik Urzędowy Rzeczypospolitej Polskiej Monitor Polski”, minister właściwy do spraw rozwoju wsi, na podstawie artykuł 5a ustęp 9 niniejszej ustawy.
Zaświadczenie albo oświadczenie, że nie została przekroczona kwota podatku dochodowego, o której mowa w ustęp 1 pkt 5, rolnik lub domownik obowiązany jest złożyć w Kasie wraz z oświadczeniem, o którym mowa w ustęp 1 pkt 1, chyba że ten rolnik lub domownik nie prowadził pozarolniczej działalności gospodarczej w poprzednim roku podatkowym.
Rolnik lub domownik, o którym mowa w ustęp 1, może w każdym czasie odstąpić od ubezpieczenia, składając w Kasie oświadczenie o odstąpieniu od tego ubezpieczenia, nie wcześniej jednak niż od dnia, w którym to oświadczenie zostało złożone w Kasie.","- Rolnik lub domownik może w dowolnym momencie odstąpić od ubezpieczenia poprzez złożenie w KRUS-ie pisma zawierającego taką informację
- Odstąpienie następuje od dnia dostarczenia dokumentu do Kasy."
2025-07-22 08:22:36,Czym jest KRUS?,"Za pozarolniczą działalność gospodarczą uważa się pozarolniczą działalność gospodarczą prowadzoną na terytorium Rzeczypospolitej Polskiej przez osoby fizyczne na podstawie przepisów ustawy z dnia 6 marca 2018 r. – Prawo przedsiębiorców (Dziennik Ustaw z 2024 r. poz. 236, 1222 i 1871), z wyłączeniem wspólników spółek prawa handlowego oraz osób prowadzących działalność w zakresie wolnego zawodu: 1) w rozumieniu przepisów o zryczałtowanym podatku dochodowym od niektórych przychodów osiąganych przez osoby fizyczne; 2) z której przychody są przychodami z działalności gospodarczej w rozumieniu przepisów o podatku dochodowym od osób fizycznych.
Ilekroć w ustawie jest mowa o: 1) rolniku – rozumie się pełnoletnią osobę fizyczną, zamieszkującą i prowadzącą na terytorium Rzeczypospolitej Polskiej, osobiście i na własny rachunek, działalność rolniczą w pozostającym w jej posiadaniu gospodarstwie rolnym, w tym również w ramach grupy producentów rolnych, a także osobę, która przeznaczyła grunty prowadzonego przez siebie gospodarstwa rolnego do zalesienia; 2) domowniku – rozumie się osobę bliską rolnikowi, która: a) ukończyła 16 lat, b) pozostaje z rolnikiem we wspólnym gospodarstwie domowym lub zamieszkuje na terenie jego gospodarstwa rolnego albo w bliskim sąsiedztwie, c) stale pracuje w tym gospodarstwie rolnym i nie jest związana z rolnikiem stosunkiem pracy; 2a) pomocniku rolnika – rozumie się osobę pełnoletnią, z którą rolnik zawarł umowę o pomocy przy zbiorach, o której mowa w artykuł 91a; 3) działalności rolniczej – rozumie się działalność w zakresie produkcji roślinnej lub zwierzęcej, w tym ogrodniczej, sadowniczej, pszczelarskiej i rybnej; 4) gospodarstwie rolnym – rozumie się każde gospodarstwo służące prowadzeniu działalności rolniczej; 5) dziale specjalnym – rozumie się dział specjalny produkcji rolnej, o którym mowa w załączniku do ustawy; 6) przepisach emerytalnych – rozumie się przepisy ustawy z dnia 17 grudnia 1998 r. o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych (Dziennik Ustaw z 2024 r. poz. 1631 i 1674); 7) emeryturze podstawowej – rozumie się kwotę równą 90 % najniższej emerytury określonej w przepisach emerytalnych; 8) wskaźniku wymiaru – rozumie się ustaloną dla określonego świadczenia lub określonej części świadczenia liczbę, wyrażającą stały stosunek tego świadczenia (tej części świadczenia) do emerytury podstawowej, z zaokrągleniem do drugiego miejsca po przecinku; wskaźnik wymiaru służy do obliczania wysokości świadczenia lub jego części w myśl artykuł 48; 9) (uchylony) 10) emeryturze lub rencie z ubezpieczenia społecznego rolników indywidualnych i członków ich rodzin – rozumie się odpowiednie świadczenie, przyznane przed dniem wejścia w życie niniejszej ustawy na podstawie ustaw powołanych w artykuł 99 4) i 122 albo innych przepisów regulujących świadczenia emerytalno-rentowe dla rolników; 10a) emeryturze lub rencie rolniczej z ubezpieczenia – rozumie się emeryturę lub rentę inwalidzką z ubezpieczenia społecznego rolników indywidualnych i członków ich rodzin oraz emeryturę rolniczą lub rentę rolniczą z tytułu niezdolności do pracy; 10b) emeryturze lub rencie z ubezpieczenia – rozumie się emeryturę lub rentę rolniczą z ubezpieczenia, rentę rolniczą szkoleniową i rentę rodzinną; 10c) ustalonym prawie do emerytury lub renty – rozumie się ustalone prawo do emerytury lub renty z ubezpieczenia albo ustalone prawo do emerytury lub renty na podstawie przepisów emerytalnych lub innych przepisów o zaopatrzeniu emerytalnym, albo ustalone prawo do emerytury pomostowej na podstawie przepisów o emeryturach pomostowych lub do nauczycielskich świadczeń kompensacyjnych na podstawie przepisów o nauczycielskich świadczeniach kompensacyjnych, a także ustalone prawo do zasiłku przedemerytalnego lub świadczenia przedemerytalnego, przyznanego na podstawie przepisów o promocji zatrudnienia i instytucjach rynku pracy, świadczenia o charakterze rentowym z instytucji zagranicznej oraz do rodzicielskiego świadczenia uzupełniającego, o którym mowa w ustawie z dnia 31 stycznia 2019 r. o rodzicielskim świadczeniu uzupełniającym (Dziennik Ustaw z 2022 r. poz. 1051); 11) ubezpieczeniu emerytalno-rentowym – rozumie się ubezpieczenie emerytalno-rentowe określone w ustawie; 4) Artykuł 99 zawierał zmiany do ustawy z dnia 24 lutego 1990 r. o niektórych warunkach funkcjonowania ubezpieczenia społecznego rolników indywidualnych i członków ich rodzin w 1990 r. 11a) stwierdzeniu niezdolności do samodzielnej egzystencji – rozumie się przez to zaliczenie do pierwszej grupy inwalidów5) ; 12) innym ubezpieczeniu społecznym – rozumie się obowiązkowe ubezpieczenia emerytalne i rentowe określone w przepisach o systemie ubezpieczeń społecznych lub zaopatrzenie emerytalne określone w odrębnych przepisach; 13) osobie podlegającej innemu ubezpieczeniu społecznemu – rozumie się osobę podlegającą obowiązkowo ubezpieczeniom emerytalnemu i rentowym na podstawie przepisów o systemie ubezpieczeń społecznych lub objętą przepisami o zaopatrzeniu emerytalnym; 13a) świadczeniach z ubezpieczeń społecznych – rozumie się zasiłek chorobowy i świadczenie rehabilitacyjne, do których przysługuje prawo z tytułu ubezpieczenia chorobowego na podstawie przepisów o świadczeniach pieniężnych z ubezpieczenia społecznego w razie choroby i macierzyństwa; 13b) należnościach z tytułu składek – rozumie się składki, należne od nich odsetki i koszty upomnienia; 14) okresach podlegania określonemu ubezpieczeniu społecznemu – rozumie się tylko takie okresy, za które opłacono przewidziane w odpowiednich przepisach składki na to ubezpieczenie, chyba że w myśl tych przepisów nie istniał obowiązek opłacania składek; 15) wójcie – rozumie się także burmistrza lub prezydenta miasta; 16) ubezpieczeniu zdrowotnym – rozumie się ubezpieczenie określone w odrębnych przepisach.
Prezes Kasy jest centralnym organem administracji rządowej, podległym ministrowi właściwemu do spraw rozwoju wsi.
Minister właściwy do spraw rozwoju wsi ogłasza w Dzienniku Urzędowym Rzeczypospolitej Polskiej „Dziennik Urzędowy Rzeczypospolitej Polskiej Monitor Polski”, w drodze obwieszczenia, roczną kwotę graniczną, o której mowa w ustęp
Rolnik lub domownik, który podlegając ubezpieczeniu w pełnym zakresie z mocy ustawy, został objęty innym ubezpieczeniem społecznym z tytułu: 1) pobierania świadczenia integracyjnego lub stypendium w okresie odbywania szkolenia, stażu lub przygotowania zawodowego dorosłych, o których mowa w artykuł 6 ustęp 1 pkt 9 ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych, na które został skierowany przez powiatowy urząd pracy, 2) pobierania stypendium w okresie odbywania szkolenia, stażu lub przygotowania zawodowego dorosłych, o którym mowa w artykuł 6 ustęp 1 pkt 9a ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych, na które został skierowany przez inne niż powiatowy urząd pracy podmioty kierujące na szkolenie, staż lub przygotowanie zawodowe dorosłych, 3) pobierania stypendium na podstawie przepisów o promocji zatrudnienia i instytucjach rynku pracy w okresie odbywania studiów podyplomowych, o którym mowa w artykuł 6 ustęp 1 pkt 9b ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych, 4) pełnienia czynnej służby wojskowej jako żołnierz niezawodowy, o której mowa w artykuł 6 ustęp 1 pkt 11 ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych, 5) odbywania służby zastępczej, o której mowa w artykuł 6 ustęp 1 pkt 12 ustawy z dnia 13 października 1998 r. o systemie ubezpieczeń społecznych – podlega nadal temu ubezpieczeniu pomimo objęcia go z tych tytułów innym ubezpieczeniem społecznym. Dziennik Ustaw – 6 – Poz. 197","- KRUS to skrótowiec oznaczający Kasę Rolniczego Ubezpieczenia Społecznego
- Jest to polska instytucja publiczna zajmująca się ubezpieczeniami społecznymi rolników i ich rodzin
- Została utworzona w 1990 roku na mocy ustawy z dnia 20 grudnia 1990 r
- o ubezpieczeniu społecznym rolników
- Obecnie działa na podstawie ustawy z dnia 20 grudnia 1990 r
- o ubezpieczeniu społecznym rolników (Dz.U
- z 2024 r
- poz
- 166)
- Do głównych zadań KRUS-u należą:

– realizacja przepisów o ubezpieczeniu społecznym rolników,
– obsługa rolniczych emerytur i rent,
– przyjmowanie wniosków o nadanie numeru identyfikacji statystycznej (NIP),
– organizacja turnusów rehabilitacyjnych dla dzieci rolników uprawnionych do zasiłku pielęgnacyjnego,
– współpraca międzynarodowa w zakresie ubezpieczeń społecznych rolnników.

KRUS oferuje różne formy ubezpieczeń, takie jak ubezpieczenie emerytalno-rentowe czy ubezpieczenie wypadkowe, chorobowe i macierzyńskie
- Ponadto umożliwia zgłoszenie do dobrowolnego ubezpieczenia zdrowotnego.

Siedziba główna KRUS znajduje się w Warszawie przy ulicy Czerniakowskiej 100
- Instytucja posiada też oddziały regionalne i placówki terenowe w całej Polsce
- Prezes KRUS jest powoływany przez Prezesa Rady Ministrów na wniosek ministra właściwego ds
- rozwoju wsi
- Obecnie funkcję tę pełni dr Aleksandra Hadzik.

Warto zaznaczyć, że KRUS nie obejmuje swoim działaniem wszystkich rolników
- Osoby prowadzące pozarolniczą działalność gospodarczą muszą korzystać z usług Zakładu Ubezpieczeń Społecznych (ZUS).

Podsumowując, KRUS stanowi ważny element systemu ubezpieczeń społecznych w Polsce, dedykowany grupie zawodowej rolników."
